ID_ALUNO;ANO_INGRESSO;IE_2020;FASE_2020;PEDRA_2020;INDE_2020;IAA_2020;IEG_2020;DESTAQUE_IEG_2020;IDA_2020;DESTAQUE_IDA_2020;IPV_2020;DESTAQUE_IPV_2020;IPP_2020;IPS_2020;IAN_2020;PONTO_VIRADA_2020;IE_2021;FASE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;IPV_2021;IAN_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;BOLSISTA_2022;FASE_2022;PEDRA_2022;INDE_2022;IAA_2022;IEG_2022;DESTAQUE_IEG_2022;IDA_2022;DESTAQUE_IDA_2022;IPV_2022;DESTAQUE_IPV_2022;IPS_2022;IPP_2022;IAN_2022;CG_2022;CF_2022;CT_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;REC_EQUIPE_1_2022;REC_EQUIPE_2_2022;REC_EQUIPE_3_2022;REC_EQUIPE_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;NIVEL_IDEAL_2022
872;2017;Rede Decisão/União;2N;Ágata;7.0;9.0;8.1;Seu destaque em 2020: A sua boa entrega das lições de casa.;6.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;7.94;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;4.38;5;Não;Rede Decisão;3.0;Quartzo;4.45;6.7;2.2;5.0;2.9;5.2;3.7;10.0;Alocado em Fase anterior;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);0.0;Não;3.0;Quartzo;5.53;7.08;5.73;Melhorar: Melhorar a sua entrega de lições de casa.;4.33;Melhorar: Empenhar-se mais nas aulas e avaliações.;5.12;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5.63;7.19;5.0;788.0;118.0;16.0;3.7;6.0;3.3;4.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não;Não;Fase 4 (9º ano)
873;2020;Escola Pública;1K;Ametista;7.51;9.0;8.6;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.5;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;7.56;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6.25;7.5;5;Não;Escola Pública;1.0;Ágata;5.86;10.0;5.8;7.5;1.5;7.9;6.8;5.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
874;2016;Rede Decisão/União;4L;Ametista;7.71;8.75;8.0;Seu destaque em 2020: A sua boa entrega das lições de casa.;6.33;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;8.06;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.54;5.0;10;Não;Rede Decisão;5.0;Ágata;6.19;7.1;6.7;6.9;2.7;7.2;6.1;10.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;Nível 5 (1o EM);0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
875;;;;;;;;;;;;;;;;;Escola Pública;0.0;Ametista;8.07;8.0;10.0;7.5;7.1;8.4;8.8;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;Nível 2 (5o e 6o ano);-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
876;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;0.0;Ametista;7.41;9.5;9.22;Destaque: A sua boa entrega das lições de casa.;7.17;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.17;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.0;5.0;356.0;107.0;7.0;7.3;7.0;;2.0;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;Fase 1 (4º ano)
877;2019;Escola Pública;2M;Ametista;7.54;8.0;8.3;Seu destaque em 2020: A sua boa entrega das lições de casa.;7.5;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;7.92;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;7.5;5;Não;Escola Pública;2.0;Ágata;6.38;7.4;7.5;7.5;1.9;8.1;8.5;5.0;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;Nível 3 (7o e 8o ano);-1.0;Não;3.0;Ágata;6.06;7.92;6.61;Melhorar: Melhorar a sua entrega de lições de casa.;4.75;Melhorar: Empenhar-se mais nas aulas e avaliações.;5.21;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.5;7.03;5.0;717.0;100.0;12.0;2.8;6.7;;4.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não;Não;Fase 4 (9º ano)
878;;;;;;;;;;;;;;;;;Escola Pública;0.0;Ametista;7.08;9.0;6.7;7.5;6.7;5.6;8.5;5.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;Não;Nível 1 (4o ano);-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
879;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ágata;6.63;9.5;8.83;Destaque: A sua boa entrega das lições de casa.;5.5;Melhorar: Empenhar-se mais nas aulas e avaliações.;7.17;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5.0;3.75;5.0;617.0;149.0;7.0;6.0;5.0;;2.0;Mantido na Fase atual;Promovido de Fase;;;Não;Não;Fase 2 (5º e 6º ano)
880;2019;Escola Pública;2F;Quartzo;4.81;7.42;5.8;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;5.0;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;5.61;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6.88;5.0;5;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
881;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;1.0;Ametista;8.06;9.5;9.85;Destaque: A sua boa entrega das lições de casa.;7.83;Destaque: As suas boas notas na Passos Mágicos.;8.17;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7.5;6.88;5.0;132.0;31.0;2.0;8.7;7.0;;3.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;;Sim;Não;Fase 2 (5º e 6º ano)
